fen,move,score,outcome
rnbqk1nr/p1ppbppp/1p2p3/8/P2P4/1P6/2P1PPPP/RNBQKBNR w KQkq - 0 1,d1d2,0,0.5
rnbqk1nr/p1ppbppp/1p2p3/8/P2P4/1P6/2PQPPPP/RNB1KBNR b KQkq - 1 2,g7g6,100,0.5
rnbqk1nr/p1ppbp1p/1p2p1p1/8/P2P4/1P6/2PQPPPP/RNB1KBNR w KQkq - 0 2,d2g5,0,0.5
rnbqk1nr/p1ppbp1p/1p2p1p1/6Q1/P2P4/1P6/2P1PPPP/RNB1KBNR b KQkq - 1 3,e7f6,0,0.5
rnbqk1nr/p1pp1p1p/1p2pbp1/6Q1/P2P4/1P6/2P1PPPP/RNB1KBNR w KQkq - 2 3,e1d2,0,0.5
rnbqk1nr/p1pp1p1p/1p2pbp1/6Q1/P2P4/1P6/2PKPPPP/RNB2BNR b kq - 3 4,f6e7,0,0.5
rnbqk1nr/p1ppbp1p/1p2p1p1/6Q1/P2P4/1P6/2PKPPPP/RNB2BNR w kq - 4 4,d2e3,0,0.5
rnbqk1nr/p1ppbp1p/1p2p1p1/6Q1/P2P4/1P2K3/2P1PPPP/RNB2BNR b kq - 5 5,e7b4,0,0.5
rnbqk1nr/p1pp1p1p/1p2p1p1/6Q1/Pb1P4/1P2K3/2P1PPPP/RNB2BNR w kq - 6 5,g5g3,0,0.5
rnbqk1nr/p1pp1p1p/1p2p1p1/8/Pb1P4/1P2K1Q1/2P1PPPP/RNB2BNR b kq - 7 6,g8e7,100,0.5
rnbqk2r/p1ppnp1p/1p2p1p1/8/Pb1P4/1P2K1Q1/2P1PPPP/RNB2BNR w kq - 8 6,g3f3,0,0.5
rnbqk2r/p1ppnp1p/1p2p1p1/8/Pb1P4/1P2KQ2/2P1PPPP/RNB2BNR b kq - 9 7,e7d5,0,0.5
rnbqk2r/p1pp1p1p/1p2p1p1/3n4/Pb1P4/1P2KQ2/2P1PPPP/RNB2BNR w kq - 10 7,e3d3,0,0.5
rnbqk2r/p1pp1p1p/1p2p1p1/3n4/Pb1P4/1P1K1Q2/2P1PPPP/RNB2BNR b kq - 11 8,b4e1,0,0.5
